gene,score
PLAC8,0.2010778155085036
MAP1LC3A,0.20102220599999945
FCRL6,0.19953809666191058
SPN,0.19948723549469236
TOB1,0.1992835217697107
AOAH,0.19913013840845495
PIK3IP1,0.19881288698029298
UPP1,0.19824271128067697
JUN,0.1978591136192252
PRDM1,0.1970998757187362
CASP1,0.1948813882097918
BTG2,0.19461515024948886
TESC,0.19452504914505106
STAT4,0.19384157752293069
TSPAN14,0.19317398400718705
CEBPB,0.19148844282226518
RNF125,0.19090833748736408
CITED2,0.1898131431778713
TPM2,0.1895379945790967
TSPAN32,0.1894568067638457
DUSP2,0.18798342365783705
CEBPD,0.18735145246324042
IGLC3,0.18642490658597066
LST1,0.18521980548447423
PIK3R5,0.18410057310229483
S100A11,0.18408836588974864
DAPP1,0.18403266096061807
SERPINB6,0.18200150830703316
NFKBID,0.18188027742078752
CALHM6,0.18149399416776563
MYADM,0.1811203730713969
CCNL2,0.18040461814153652
TPST2,0.18035650247360452
GPM6A,0.17877061813274375
LIMS1,0.17844473840821404
TMEM131L,0.17706424746859736
MYBL1,0.1768340696700746
DLEU2,0.1763854522848232
BANK1,0.17634137104651504
FCER1G,0.17618767937391902
SOCS3,0.17603061331566477
PTPN18,0.17582558702732595
TNNI2,0.17382624733265734
RPS6,0.17306227692696974
GRAP2,0.17276603344963468
IQGAP2,0.1715002993342354
CRYM,0.17094020287999562
FILIP1L,0.16996323344397002
AGTRAP,0.16979461622557748
FCN1,0.16975216245173075
CRACR2B,0.16968568527944755
PELI1,0.1688766640326487
MORC3,0.1686323704060508
LYAR,0.16846423306276273
TGFBR3,0.16832140716753644
ITGB1,0.1668481673422127
YWHAH,0.16478811389284076
LINC01871,0.16476136664617785
TTC39C,0.1645585621959054
ABLIM1,0.1634367743949839
RAB37,0.1632007764378155
KHDRBS2,0.16316837993976502
CISH,0.16262283317446394
DPYD,0.16262145545048376
COL6A2,0.16194035153025416
S1PR5,0.16154745881072666
SAT1,0.16106120075764477
SH2D1A,0.1599575398671441
IRF1,0.15944476093855275
MYBL2,0.15936748928788053
PAG1,0.15913601585285567
TYMP,0.15901442915889108
EOMES,0.1586459690564903
CCR7,0.15846899042895707
DMXL1,0.1575124724841257
SIRPG,0.15750264260888389
PRSS23,0.1574174813921843
SNHG14,0.1574024199449965
RNF144B,0.15515125197973517
RIPOR1,0.15513643768599364
IL2RB,0.15495959193863545
ABI3,0.1539553356494939
TNIK,0.15380699039925494
ODC1,0.15309664823729205
NCK2,0.15111183173002823
AC025164.1,0.15051722881965515
RIC3,0.15015072327201393
INPP4B,0.1498762817779192
RB1,0.14915054060872182
LYST,0.14892613511544794
CMC1,0.14833587723348468
NIPAL2,0.14781643497861532
IFITM3,0.1476531270916516
NFKBIA,0.14715810731405082
GLUL,0.14588938476779917
CCL4,0.1457391358936263
TRAF5,0.14529057984680346
IFI6,0.1451345699139985
ZNF683,0.144327769195603
EHD3,0.14290301784569148
TUBB4B,0.14237512226597573
GLIPR2,0.14236486534267706
RAB27A,0.14219168384530137
ARHGAP44,0.1398749195537323
TAGLN2,0.1392186848246626
BRI3,0.13899050541368713
MIR4435-2HG,0.1384930495316787
TCTN1,0.13847771161337444
CD300A,0.13811033160719594
SERPINA1,0.13807153845909906
AC008105.3,0.13767597443469934
TKT,0.13706655526151518
PIM1,0.1369544877004848
VPS37B,0.13695354174149907
SEMA4D,0.13592367085783008
SATB1,0.1359126463675311
CCDC141,0.1358471083866299
ATP2B4,0.13560228042355976
LINC01725,0.13445788241749132
PTGDR,0.13303770788454394
GPRIN3,0.13268886679144432
SYNE2,0.1319149902124799
CTSA,0.13095417715057103
BACH2,0.13085440301835943
RUFY1,0.13040046457277849
BCL2A1,0.1302537900543113
HIST1H1C,0.12910284534199254
NUSAP1,0.12871604348491233
IRF7,0.12795968876461372
MGLL,0.12749738652556802
APOL6,0.12732987355667402
CD27,0.12679862926719104
AC012368.1,0.12625752043983224
RGS10,0.12601951135073491
TRAT1,0.12596434872974702
SPON2,0.12591739581885505
TRABD2A,0.12567982901450986
PARVB,0.12562375378118476
ITGAM,0.12479178649569762
NEAT1,0.12382955781399886
RRBP1,0.12369345591508965
MACF1,0.12368856792945751
LYL1,0.12295533042378869
STMN3,0.12288558824700803
FCGR3A,0.12181526574029149
HIST1H1D,0.1217839708591669
FAM214A,0.12174385490422981
TNFSF9,0.12146288462521412
GABARAPL1,0.12134946880526971
H2AFJ,0.1210261862548317
TUBA1A,0.12055454142135616
MAPK8IP3,0.12030981043628554
PDE4D,0.12015905470565771
GADD45B,0.11999359282048563
CLIC3,0.11997300968843923
NLRP1,0.11960840622376602
STX16,0.11959336940493388
APOD,0.11928483776063037
LFNG,0.1192458161826936
EIF2AK1,0.11921098902158325
ITGA6,0.11907146588197538
FKBP5,0.1188962332836628
LEF1,0.1185782191708949
AQP3,0.11850723839270284
PHKB,0.1184476864054304
FOSL2,0.1181459335085729
KLRB1,0.11707937541835023
SAMD9L,0.11635440065338133
ROR1,0.11569288235732661
C5orf56,0.11532903352327377
KIF2A,0.11509069765606579
DDHD1,0.11486446296501177
CHST12,0.11439307663832084
ARHGAP26,0.11344120909121674
RNPC3,0.11281569060045554
CD226,0.1115310449663665
ATP2A3,0.11134171504223907
NPC2,0.11131884571249594
ZBTB48,0.11129596866318373
PROK2,0.11012833345111274
GLCCI1,0.10996987576195012
SH3TC1,0.10944916492737596
CCL3,0.10940393418996387
PDE3B,0.10883480403896872
TIGIT,0.10833331892371742
PBXIP1,0.10828654022963796
PLEKHF1,0.1082114781087761
BHLHE40,0.1077042236839642
SYTL2,0.10675116012639232
PRNP,0.10629266449567347
UBE2S,0.10629156634311349
ILK,0.10587255786005159
CBLB,0.10431730908869558
VCAN,0.10404070691740586
