gene,is_known,p_S1,p_S2,p_mean,p_max,p_fisher,p_bonf,p_hmp
ANGPTL6,False,0.7981009495252374,0.0039920159680638,0.09931923247273544,0.003992015968063756,0.021502461610929058,0.0079840319361276,0.0891307770434
CDKN2D,False,0.0004997501249375312,0.2914171656686626,0.003311476227807808,0.0004997501249375258,0.0014322406310199876,0.0009995002498750624,0.031587800576872244
LDLR,False,0.2478760619690155,0.0019960079840319,0.0059131322250808305,0.001996007984031878,0.004260614727003786,0.0039920159680638,0.06292954208472477
TMEM205,False,0.17891054472763618,0.7325349301397206,0.41627036278390683,0.17891054472763623,0.39738342167141405,0.35782108945527236,0.5362678849340242
CTD-2192J16.22,False,0.8115942028985508,0.0678642714570858,0.33360045437818786,0.06786427145708585,0.21475011551360657,0.1357285429141716,0.35391371468147725
CTD-2192J16.26,False,0.014992503748125937,0.0239520958083832,0.001676160958197781,0.014992503748125885,0.003207463718758019,0.029985007496251874,0.1358001406211184
HOOK2,False,0.010494752623688156,0.0019960079840319,0.0001223527605062058,0.001996007984031878,0.00024662639334704917,0.0039920159680638,0.05791456457274081
PRDX2,False,0.0004997501249375312,0.0019960079840319,6.430213693953135e-06,0.0004997501249375258,1.4781041052014388e-05,0.0009995002498750624,0.028272964322665645
MAST1,False,0.07846076961519241,0.0998003992015968,0.028201473625013573,0.07846076961519244,0.045805895510731,0.15692153923038482,0.2964005765400832
FARSA,False,0.0004997501249375312,0.0279441117764471,0.0001171784230957762,0.0004997501249375258,0.0001700799455409685,0.0009995002498750624,0.03133591119110947
LYL1,False,0.0004997501249375312,0.0019960079840319,6.430213693953135e-06,0.0004997501249375258,1.4781041052014388e-05,0.0009995002498750624,0.028272964322665645
