gene,alpha_UMI,se,t_stat,p_value,fdr,p_value_perm,fdr_perm
CTD-2081C10.1,0.0028531673938635422,0.0026586057399788855,1.0731818377421876,0.28330426471843884,0.9610942545789382,0.7122877122877123,0.9647867162897223
RP11-309L24.4,-0.0036873270348931324,0.0034416586202110746,-1.0713808200610901,0.2841127829053496,0.9610942545789382,0.24375624375624375,0.956911334409484
HCFC2,0.003873917567937262,0.0036293676838094857,1.0673808512754548,0.2859140464374373,0.9610942545789382,0.5144855144855145,0.956911334409484
SLC6A9,-0.00424576522499147,0.003980031037928361,-1.0667668630042542,0.2861912194148574,0.9610942545789382,0.011988011988011988,0.7695161980876267
FBXO36,-0.0036229567689514703,0.0034021045681086543,-1.0649163470494178,0.2870276970708274,0.9610942545789382,0.6063936063936064,0.956911334409484
RCHY1,-0.004588864709027469,0.004315250437602301,-1.063406348108995,0.2877114752917076,0.9610942545789382,0.1108891108891109,0.9227069227069228
HIF1A-AS1,0.004309590615051379,0.00405262895261634,1.0634061655874227,0.28771155801001613,0.9610942545789382,0.23176823176823177,0.9563987033374789
RBM26,0.003244662018655413,0.0030525048219570334,1.0629506611472344,0.28791804146916217,0.9610942545789382,0.7132867132867133,0.9647867162897223
CCDC190,-0.005137768553331664,0.004838409841120063,-1.06187130111765,0.28840772239349793,0.9610942545789382,0.2817182817182817,0.956911334409484
CTC-503K11.2,0.003570628042726018,0.003368129612496851,1.0601219233003303,0.2892025676594949,0.9610942545789382,0.23076923076923078,0.9563987033374789
CCDC71L,-0.003999690243041435,0.0037847107821731203,-1.0568020842913182,0.29071502268233584,0.9610942545789382,0.9530469530469531,0.9953827164570966
CTD-2066L21.3,-0.002848453169537944,0.0026960740561434372,-1.0565188901418452,0.29084428652982336,0.9610942545789382,0.36163836163836166,0.956911334409484
RP11-439C15.4,-0.0030561835478509036,0.0028970561380491935,-1.0549272786642676,0.29157149651232367,0.9610942545789382,0.7032967032967034,0.9647867162897223
AF003625.3,-0.003452356125034153,0.0032737708917398006,-1.0545503149728328,0.29174391083635565,0.9610942545789382,0.33166833166833165,0.956911334409484
FSHB,-0.0038129863678785275,0.0036290379313376857,-1.0506879343837519,0.29351442272151107,0.9610942545789382,0.4205794205794206,0.956911334409484
AC004535.2,0.004590606857250478,0.004369949342966028,1.05049429569214,0.2936033760190414,0.9610942545789382,0.4785214785214785,0.956911334409484
ATP8B1,-0.003949058420009152,0.003765940971548879,-1.0486246199403149,0.2944631942953053,0.9610942545789382,0.9820179820179821,0.9968863471857483
CREG1,-0.0031096290685861897,0.002965824090267719,-1.0484873593107948,0.29452638359121736,0.9610942545789382,0.9400599400599401,0.994663107692935
RP3-323A16.1,-0.003305023195535258,0.0031569512116715022,-1.046903475516275,0.295256198214271,0.9610942545789382,0.4255744255744256,0.956911334409484
NEMP2,-0.003887167830809858,0.003713869196248916,-1.0466625574037263,0.29536731345839773,0.9610942545789382,0.24375624375624375,0.956911334409484
OR2AK2,-0.003915233540479526,0.003741927305519069,-1.0463146984987648,0.29552780092681635,0.9610942545789382,0.7442557442557443,0.9672048105937707
RP11-14C22.6,0.004601270926680614,0.004397875184384886,1.0462486391193775,0.29555828454661986,0.9610942545789382,0.10589410589410589,0.9204972242946926
SPAG16,-0.0036938249366888216,0.0035325843686913844,-1.0456437981851008,0.29583749110744,0.9610942545789382,0.6563436563436563,0.95890670023618
AC016577.1,0.004247736267689152,0.004063551444297914,1.0453260715201838,0.29598423079496555,0.9610942545789382,0.28771228771228774,0.956911334409484
ESR2,-0.004792826684782203,0.004588053045270492,-1.0446319250213887,0.29630498674299527,0.9610942545789382,0.03796203796203796,0.8343395734700082
ACSL4,-0.003636099334762917,0.003487095018045342,-1.0427302141024122,0.2971849341868106,0.9610942545789382,0.6473526473526473,0.958233567311166
SLC7A6,0.0036747069166632247,0.003529235211962059,1.041219044910087,0.29788541804187596,0.9610942545789382,0.08091908091908091,0.8977688977688979
RP11-23I7.1,-0.003658804912126031,0.0035147844027485983,-1.0409756311834564,0.29799835261483165,0.9610942545789382,0.9040959040959041,0.9876667806586944
CTD-2586B10.1,0.003278871952052686,0.003153187898071258,1.0398593607622515,0.2985166255635691,0.9610942545789382,0.9210789210789211,0.9917436442409876
RP11-143J24.1,0.003817433930423261,0.0036712096828467205,1.0398299907136102,0.29853026990363724,0.9610942545789382,0.8651348651348651,0.9800350740473852
RALB,-0.004162594340501609,0.004006899327138918,-1.0388567320139845,0.2989826489653242,0.9610942545789382,0.9050949050949051,0.9876667806586944
