method,n_cells,theta_mean,n_confounders,target,auroc,auprc,type_i,ks_stat,time
PGAA_linear,800,0.5,5,gene_0289,0.8757259001161439,0.5699123072943827,0.020905923344947737,0.1301119440314329,0.617725133895874
Partial_Pearson,800,0.5,5,gene_0289,0.853658536585366,0.6751062591685709,0.020905923344947737,0.13521949721200083,0.1302049160003662
PGAA_linear,800,0.5,5,gene_0157,0.8911149825783973,0.664323611459123,0.013937282229965157,0.09256333663760907,0.5458433628082275
Partial_Pearson,800,0.5,5,gene_0157,0.9091173054587689,0.7066098253598255,0.020905923344947737,0.11877863682686396,0.14252185821533203
PGAA_linear,800,0.5,10,gene_0099,0.818815331010453,0.3931555499516664,0.006968641114982578,0.09103256769644263,0.7181711196899414
Partial_Pearson,800,0.5,10,gene_0099,0.8501742160278746,0.4577938856111473,0.003484320557491289,0.061996639695202305,0.17778778076171875
PGAA_linear,800,0.5,10,gene_0090,0.6370499419279907,0.15288615232855773,0.04529616724738676,0.15099206704681184,0.7137651443481445
Partial_Pearson,800,0.5,10,gene_0090,0.6675377468060395,0.12352827537975619,0.06620209059233449,0.1420445796492296,0.25530219078063965
PGAA_linear,800,0.5,10,gene_0038,0.9488966318234611,0.7420548054191672,0.010452961672473868,0.09703738801990325,0.5538511276245117
Partial_Pearson,800,0.5,10,gene_0038,0.9616724738675958,0.6145130147084017,0.05226480836236934,0.18897286105763067,0.13194704055786133
PGAA_linear,800,0.5,10,gene_0142,0.8461091753774681,0.45658201966992557,0.03832752613240418,0.09583284955131566,0.635807991027832
Partial_Pearson,800,0.5,10,gene_0142,0.9120209059233451,0.5292938973335616,0.03832752613240418,0.1255455928766238,0.1440882682800293
PGAA_linear,1600,0.15,3,gene_0201,0.5699767711962834,0.152235707137249,0.03484320557491289,0.20142794206650894,0.7366342544555664
Partial_Pearson,1600,0.15,3,gene_0201,0.6109175377468061,0.10378646038839613,0.041811846689895474,0.1817905670298881,0.1482558250427246
