gene,S2_obs,null_mean,null_std,z_score,p_perm,p_zscore,p_pooled
CTSS,0.827713116892348,0.6354327883439677,0.03284027805144494,5.855015242171934,0.001996007984031936,4.769662664827479e-09,0.008209741550695825
RP11-98D18.3,0.691551055955608,0.692122853933432,0.01044214748696673,-0.05475865750198019,0.45109780439121755,0.95633073748955,0.2330576540755467
C2CD4D,0.7395381862487941,0.6880557030585558,0.027829931210495658,1.8498961711705766,0.017964071856287425,0.06432851585162891,0.07476242544731611
LCE1D,0.6243199573215422,0.6190693695453503,0.019033270328162342,0.27586366849540694,0.45708582834331335,0.7826527798234231,0.6630745526838966
PGLYRP3,0.7287051304673196,0.6604834461109924,0.023485551994997036,2.904836316849484,0.005988023952095809,0.003674452041695364,0.08937475149105367
UBE2Q1,0.7162994889353996,0.720298759339272,0.01883553705223714,-0.21232579632748855,0.6047904191616766,0.8318528716462983,0.11337077534791253
LENEP,0.7587366086991811,0.7447069056067676,0.0198915396428145,0.705310063692374,0.2774451097804391,0.4806172989970543,0.05433797216699801
ZBTB7B,0.6190723153752988,0.5721499549185984,0.023498567243905626,1.9968179323302255,0.017964071856287425,0.04584496483184686,0.679093439363817
TRIM46,0.583642562080319,0.5216692230866995,0.02325373053852565,2.665092333935081,0.005988023952095809,0.007696718694022886,0.8111789264413519
YY1AP1,0.7852613106115117,0.6487039277641106,0.028097089969360108,4.860196660804098,0.001996007984031936,1.172692009943077e-06,0.02928131212723658
SYT11,0.7021443780220183,0.6791754876568846,0.0162278539487565,1.4153991302646862,0.1157684630738523,0.15695150449801964,0.16853578528827037
KIAA0907,0.677412124393111,0.6706847141908254,0.012056435453400658,0.5579932997847652,0.26147704590818366,0.5768489594514348,0.35008151093439366
AL365181.2,0.6685486018064527,0.6650068985581394,0.015650558860925777,0.22629883570199472,0.37325349301397204,0.8209690038804458,0.4252365805168986
RP11-284F21.11,0.7924659301863983,0.6521685520952427,0.033030519668016387,4.247507441640466,0.001996007984031936,2.1616198726981395e-05,0.022663021868787277
HAPLN2,0.7887984879171793,0.6518500637598678,0.028425105817338606,4.817868578479367,0.001996007984031936,1.4509988732758217e-06,0.026313121272365805
PRCC,0.771118687596274,0.7215965228093372,0.018587616303329786,2.664255813052412,0.003992015968063872,0.0077158861981296845,0.04145328031809145
OR6N1,0.7800096835418271,0.6556548024456831,0.029022965074537586,4.284706292991363,0.001996007984031936,1.8298075558975668e-05,0.03245526838966203
CADM3,0.6349708692071523,0.6116050358429208,0.021159712879167895,1.1042604168431058,0.12375249500998003,0.26948018822775044,0.6121083499005964
RP11-190A12.8,0.7852593189551432,0.6925329773786406,0.022922051269404588,4.045289860260713,0.001996007984031936,5.225842392908575e-05,0.02942445328031809
LY9,0.6933353687433411,0.6842405239781019,0.012170909999427153,0.7472608675659068,0.17365269461077845,0.45490610900464024,0.21975646123260437
ITLN2,0.7021421506009393,0.6821786336926389,0.012270908073745293,1.6268980900453942,0.08183632734530938,0.10375874370380278,0.16996322067594433
F11R,0.7057081118990788,0.673722152893086,0.019519325108798627,1.638681605419492,0.033932135728542916,0.10127958692209527,0.1476779324055666
RP11-544M22.13,0.838324582808001,0.6551274813419499,0.03265678783666034,5.609771003270244,0.001996007984031936,2.0259451227744307e-08,0.005843936381709741
PPOX,0.6827015763327684,0.6516247529661842,0.018239248147073416,1.703843443325759,0.05788423153692615,0.08841033936239384,0.3062097415506958
FCGR2B,0.518214182313852,0.5129106428335403,0.011384635156509056,0.4658506317858583,0.34530938123752497,0.641322420452334,0.9731033797216699
ATF6,0.5977964483731267,0.5894469521049303,0.01808507398911861,0.46167885590181845,0.36926147704590817,0.6443116360945613,0.7638767395626243
RP11-359K18.3,0.8136048692080023,0.6105663910864564,0.04101001072671673,4.950949159085878,0.001996007984031936,7.385239704227331e-07,0.012030815109343937
CCDC190,0.6101866716129193,0.6041123537121754,0.019219838602425862,0.3160441680283865,0.37524950099800397,0.7519689836890189,0.716551689860835
RXRG,0.7217135124638037,0.6708896360525448,0.018769782547292686,2.707749878465527,0.001996007984031936,0.006774105412662879,0.1000675944333996
LRRC52,0.7605339773756691,0.72553452944778,0.016171096323554658,2.164321282095581,0.02594810379241517,0.030439700496639244,0.05152286282306163
RP11-276E17.2,0.5358909048743802,0.5262883054626226,0.012238257461416394,0.7846378001141857,0.29141716566866266,0.43266596078601305,0.93818986083499
CREG1,0.6632288102415317,0.646037249482395,0.01712936713952801,1.003630818295914,0.19560878243512975,0.3155565942502998,0.4683330019880716
