Cell line	Drug ID	Putative target	Screen format	Avg. AUC DTP	Avg. AUC DTP Combination	Avg. AUC DMSO	Avg. AUC monotherapy	Combination activity	Monotherapy activity	Label	Screen hit status	combination_activity_z
HCC2935	AZ6102	Tankyrase	sequential	7139.0	3766.0	15413.0	14605.0	3373.0	808.0	AZ6102: Tankyrase	none	0.6179800622326719
HCC2935	AZD0156	ATM	sequential	22314.0	22268.0	19215.0	21018.0	46.0	-1803.0	AZD0156: ATM	none	-0.5517733722428213
HCC2935	AZD2811	AURKB	sequential	9121.0	5744.0	11459.0	8433.0	3377.0	3026.0	AZD2811: AURKB	none	0.6193864384688913
HCC2935	AZD4205	JAK1	sequential	22314.0	20709.0	19215.0	20783.0	1605.0	-1568.0	AZD4205: JAK1	none	-0.003638234176306724
HCC2935	AZD4547	FGFR	sequential	9121.0	9137.0	11459.0	10978.0	-16.0	481.0	AZD4547: FGFR	none	-0.5735722039042221
HCC2935	AZD5153	BRD4	sequential	9121.0	2577.0	11459.0	12963.0	6544.0	-1504.0	AZD5153: BRD4	none	1.7328848234956082
HCC2935	AZD8186	PIK3CB	sequential	6271.0	5865.0	13875.0	10785.0	406.0	3090.0	AZD8186: PIK3CB	none	-0.42519951098307446
HCC2935	AZD8835	PIK3CA	sequential	6271.0	6133.0	13875.0	11742.0	138.0	2133.0	AZD8835: PIK3CA	none	-0.5194267188097749
HCC2935	BMS-754807	IGF-IR	sequential	22314.0	22276.0	19215.0	20721.0	38.0	-1506.0	BMS-754807: IGF-IR	none	-0.55458612471526
HCC2935	Capivasertib	AKT	sequential	9121.0	5935.0	11459.0	6508.0	3186.0	4951.0	Capivasertib: AKT	none	0.5522319731894145
HCC2935	Crizotinib	ALK	sequential	22314.0	21359.0	19215.0	19328.0	955.0	-113.0	Crizotinib: ALK	none	-0.23217437256196063
HCC2935	Dastainib	SRC	sequential	6271.0	7412.0	13875.0	10387.0	-1141.0	3488.0	Dastainib: SRC	none	-0.9691155203409307
HCC2935	GSK591	PRMT5	sequential	7139.0	8088.0	15413.0	16250.0	-949.0	-837.0	GSK591: PRMT5	none	-0.9016094610023991
HCC2935	K975	TEAD	sequential	8847.0	3320.0	17077.0	14205.0	5527.0	2872.0	K975: TEAD	none	1.3753136654368234
HCC2935	LY3298176	AURKA	sequential	21627.0	14079.0	12485.0	12503.0	7548.0	-18.0	LY3298176: AURKA	hit	2.08588525878668
HCC2935	Olaparib	PARP	sequential	22314.0	20711.0	19215.0	20816.0	1603.0	-1601.0	Olaparib: PARP	none	-0.004341422294416429
HCC2935	Quisinostat	HDAC	sequential	6271.0	6604.0	13875.0	8247.0	-333.0	5628.0	Quisinostat: HDAC	none	-0.6850275206246103
HCC2935	RMC-4550	SHP2	sequential	22314.0	19461.0	19215.0	19065.0	2853.0	150.0	RMC-4550: SHP2	none	0.4351511515241488
HCC2935	RSL3	GPX4	sequential	9121.0	5898.0	11459.0	11659.0	3223.0	-200.0	RSL3: GPX4	none	0.5652409533744441
HCC2935	Selumetinib	MEK1/2	sequential	7139.0	12803.0	15413.0	17846.0	-5664.0	-2433.0	Selumetinib: MEK1/2	none	-2.559375449446027
HCC827	Abemaciclib	CDK4/6	sequential	18675.0	6447.0	48895.0	48517.0	12228.0	378.0	Abemaciclib: CDK4/6	hit	1.010935670179676
HCC827	AZ'5845	AXL	sequential	18323.0	17736.0	23435.0	23017.0	587.0	418.0	AZ'5845: AXL	none	-1.1495406046614196
HCC827	AZ'6197	ERK1/2	sequential	14243.0	11028.0	20031.0	19395.0	3215.0	636.0	AZ'6197: ERK1/2	none	-0.6618048731707917
HCC827	AZ6102	Tankyrase	sequential	18675.0	2581.0	48895.0	48752.0	16094.0	143.0	AZ6102: Tankyrase	hit	1.7284342767027991
HCC827	AZD0156	ATM	sequential	15330.0	12343.0	21320.0	20728.0	2987.0	592.0	AZD0156: ATM	none	-0.704119845309248
HCC827	AZD2811	AURKB	sequential	22913.0	14641.0	30859.0	30974.0	8272.0	-115.0	AZD2811: AURKB	hit	0.2767337851808464
HCC827	AZD4205	JAK1	sequential	15330.0	10389.0	21320.0	19533.0	4941.0	1787.0	AZD4205: JAK1	none	-0.34147311040335504
HCC827	AZD4547	FGFR	sequential	5666.0	3349.0	43928.0	46426.0	2317.0	-2498.0	AZD4547: FGFR	none	-0.8284664739617292
HCC827	AZD5153	BRD4	sequential	18675.0	4177.0	48895.0	42047.0	14498.0	6848.0	AZD5153: BRD4	hit	1.4322294717336048
HCC827	AZD8186	PIK3CB	sequential	8266.0	3541.0	27404.0	24931.0	4725.0	2473.0	AZD8186: PIK3CB	none	-0.38156097874505046
HCC827	AZD8835	PIK3CA	sequential	8266.0	7053.0	27404.0	27481.0	1213.0	-77.0	AZD8835: PIK3CA	none	-1.0333600232637281
HCC827	BMS-754807	IGF-IR	sequential	15330.0	12639.0	21320.0	21271.0	2691.0	49.0	BMS-754807: IGF-IR	none	-0.7590550722960159
HCC827	Capivasertib	AKT	sequential	8266.0	5487.0	27404.0	28525.0	2779.0	-1121.0	Capivasertib: AKT	none	-0.7427229777864363
HCC827	Crizotinib	ALK	sequential	15330.0	10389.0	21320.0	19533.0	4941.0	1787.0	Crizotinib: ALK	none	-0.34147311040335504
HCC827	Dastainib	SRC	sequential	22913.0	4769.0	30859.0	25600.0	18144.0	5259.0	Dastainib: SRC	hit	2.108897841982779
HCC827	GSK591	PRMT5	sequential	5666.0	5241.0	43928.0	45471.0	425.0	-1543.0	GSK591: PRMT5	none	-1.1796065059176912
HCC827	K975	TEAD	sequential	19301.0	11682.0	34951.0	35000.0	7619.0	-49.0	K975: TEAD	hit	0.15554222024044306
HCC827	LY3298176	AURKA	sequential	14243.0	9179.0	20031.0	17404.0	5064.0	2627.0	LY3298176: AURKA	none	-0.3186452964865562
HCC827	Olaparib	PARP	sequential	15330.0	12359.0	21320.0	20699.0	2971.0	621.0	Olaparib: PARP	none	-0.7070893170382625
HCC827	Quisinostat	HDAC	sequential	8266.0	2783.0	27404.0	25117.0	5483.0	2287.0	Quisinostat: HDAC	none	-0.24088225558298962
HCC827	RMC-4550	SHP2	sequential	15330.0	6150.0	21320.0	14863.0	9180.0	6457.0	RMC-4550: SHP2	hit & mono. activity	0.445251305802418
HCC827	RSL3	GPX4	sequential	25096.0	6735.0	35394.0	29107.0	18361.0	6287.0	RSL3: GPX4	hit	2.1491713023075376
HCC827	Selumetinib	MEK1/2	sequential	18675.0	11449.0	48895.0	45830.0	7226.0	3065.0	Selumetinib: MEK1/2	none	0.08260457089652498
PC9	Abemaciclib	CDK4/6	sequential	15163.0	7104.199213	30578.0	29713.0	8058.800787	865.0	Abemaciclib: CDK4/6	hit	0.45911142384165116
PC9	AZ'5845	AXL	sequential	13218.0	11991.20893	24440.5	24174.0	1226.791071	266.5	AZ'5845: AXL	none	-1.994474001726058
PC9	AZD0156	ATM	sequential	15001.0	4600.765777	29563.0	30078.0	10400.23422	-515.0	AZD0156: ATM	hit	1.299992392247137
PC9	AZD2811	AURKA	sequential	10175.0	3939.62124	27958.0	10447.0	6235.37876	17511.0	AZD2811: AURKA	none	-0.1957356703638471
PC9	AZD2811	AURKB	sequential	10869.5	2516.306596	28335.0	22001.5	8353.193405	6333.5	AZD2811: AURKB	hit & mono. activity	0.5648368936441771
PC9	AZD4205	JAK1	sequential	10968.0	8034.130029	21594.0	20838.0	2933.869971	756.0	AZD4205: JAK1	none	-1.3814093130847171
PC9	AZD4547	FGFR	sequential	10238.0	5980.789994	24131.0	24176.5	4257.210006	-45.5	AZD4547: FGFR	none	-0.9061570874706013
PC9	AZD5153	BRD4	sequential	11599.5	3989.302405	26717.0	26077.0	7610.197596	640.0	AZD5153: BRD4	hit	0.29800418057719097
PC9	AZD8186	PIK3CB	sequential	10725.0	4552.615643	30580.0	28780.0	6172.384357	1800.0	AZD8186: PIK3CB	none	-0.21835890357312757
PC9	AZD8835	PIK3CA	sequential	13849.0	6285.197881	36000.0	35527.5	7563.80212	472.5	AZD8835: PIK3CA	hit	0.28134213405531866
PC9	BMS-754807	IGF-IR	sequential	7232.5	1845.252535	30580.0	30073.0	5387.247466	507.0	BMS-754807: IGF-IR	none	-0.5003257790478028
PC9	Capivasertib	AKT	sequential	10725.0	2028.117571	31840.0	30684.0	8696.882429	1156.0	Capivasertib: AKT	hit	0.6882662234121252
PC9	Crizotinib	ALK	sequential	15001.0	8357.858799	22064.0	21103.0	6643.141201	961.0	Crizotinib: ALK	none	-0.04929560017652378
PC9	Dasatinib	SRC	sequential	11382.0	1778.569103	28100.5	20263.0	9603.430898	7837.5	Dasatinib: SRC	hit & mono. activity	1.0138357415438122
PC9	GSK591	PRMT5	sequential	12891.0	978.8052755	44384.0	43319.0	11912.19472	1065.0	GSK591: PRMT5	hit	1.8429840449296848
PC9	LY3298176	AURKA	sequential	11451.0	6751.905151	20377.0	20462.5	4699.094849	-85.5	LY3298176: AURKA	none	-0.7474626102035443
PC9	Olaparib	PARP	sequential	15022.5	10032.29294	26334.0	25091.0	4990.207058	1243.0	Olaparib: PARP	none	-0.6429152364586764
PC9	Quisinostat	HDAC	sequential	13992.0	2702.781651	27958.0	20800.0	11289.21835	7158.0	Quisinostat: HDAC	hit & mono. activity	1.6192540144636278
PC9	RMC-4550	SHP2	sequential	11900.5	8630.421756	21122.5	21308.0	3270.078244	-185.5	RMC-4550: SHP2	none	-1.260666551748151
PC9	RSL3	GPX4	sequential	10175.0	1245.143531	30326.0	27837.0	8929.856469	2489.0	RSL3: GPX4	hit	0.771934387369934
PC9	Selumetinib	MEK1/2	sequential	14554.0	10398.71272	49189.0	49721.0	4155.28728	-532.0	Selumetinib: MEK1/2	none	-0.9427606822316092
