target_gene	method	repeat	status	n_discovery_per_group	n_validation_per_group	observed_top_k_overlap_fraction	pseudo_top_k_overlap_fraction	specificity_margin	observed_all_gene_spearman_rho	pseudo_all_gene_spearman_rho	analysis_role	failure_reason
RPUSD3	welch_abs_t	3	complete	91	73	0.03	0.0	0.03	-0.0010628031318428012	0.014282273980561614	post_result_matched_control_specificity_stress_test	
RPUSD3	pgaa_w	4	complete	91	73	0.84	0.82	0.020000000000000018	0.6238115161353035	0.6243103133318744	post_result_matched_control_specificity_stress_test	
RPUSD3	pgaa_h	4	complete	91	73	0.0	0.0	0.0	0.24141589005972536	0.24724963452129334	post_result_matched_control_specificity_stress_test	
RPUSD3	absolute_mean_shift	4	complete	91	73	0.58	0.66	-0.08000000000000007	0.28490752681150655	0.2978384589667929	post_result_matched_control_specificity_stress_test	
RPUSD3	welch_abs_t	4	complete	91	73	0.04	0.01	0.03	0.005080739218744649	0.01623366630271433	post_result_matched_control_specificity_stress_test	
CWC15	pgaa_w	0	complete	96	88	0.9	0.77	0.13	0.712961085616141	0.64198946464314	post_result_matched_control_specificity_stress_test	
CWC15	pgaa_h	0	complete	96	88	0.01	0.01	0.0	0.32952559720616076	0.24547053777352623	post_result_matched_control_specificity_stress_test	
CWC15	absolute_mean_shift	0	complete	96	88	0.87	0.56	0.30999999999999994	0.5377839001942469	0.3286901872405259	post_result_matched_control_specificity_stress_test	
CWC15	welch_abs_t	0	complete	96	88	0.33	0.02	0.31	0.3160784501553774	-0.005221032383085699	post_result_matched_control_specificity_stress_test	
CWC15	pgaa_w	1	complete	96	88	0.9	0.79	0.10999999999999999	0.6929558218131017	0.6344044078717986	post_result_matched_control_specificity_stress_test	
CWC15	pgaa_h	1	complete	96	88	0.04	0.04	0.0	0.2973040751812341	0.24823212735915526	post_result_matched_control_specificity_stress_test	
CWC15	absolute_mean_shift	1	complete	96	88	0.9	0.49	0.41000000000000003	0.5029161063415366	0.30591247158684093	post_result_matched_control_specificity_stress_test	
CWC15	welch_abs_t	1	complete	96	88	0.2	0.01	0.19	0.2729980880098423	0.0036073843038729506	post_result_matched_control_specificity_stress_test	
CWC15	pgaa_w	2	complete	96	88	0.9	0.81	0.08999999999999997	0.7041721244873781	0.6283662946558214	post_result_matched_control_specificity_stress_test	
CWC15	pgaa_h	2	complete	96	88	0.04	0.03	0.010000000000000002	0.3170748361550235	0.24698829802365369	post_result_matched_control_specificity_stress_test	
CWC15	absolute_mean_shift	2	complete	96	88	0.89	0.63	0.26	0.5185396720610123	0.28058955616482023	post_result_matched_control_specificity_stress_test	
CWC15	welch_abs_t	2	complete	96	88	0.25	0.0	0.25	0.2940684599226362	-0.01902284647355739	post_result_matched_control_specificity_stress_test	
CWC15	pgaa_w	3	complete	96	88	0.93	0.81	0.12	0.6879609302156449	0.6318928293377898	post_result_matched_control_specificity_stress_test	
CWC15	pgaa_h	3	complete	96	88	0.03	0.02	0.009999999999999998	0.28943478311187876	0.24262688602771942	post_result_matched_control_specificity_stress_test	
CWC15	absolute_mean_shift	3	complete	96	88	0.9	0.57	0.33000000000000007	0.4986246165116965	0.2899542483587168	post_result_matched_control_specificity_stress_test	
CWC15	welch_abs_t	3	complete	96	88	0.44	0.01	0.43	0.27142750445925223	-0.02071539866459018	post_result_matched_control_specificity_stress_test	
CWC15	pgaa_w	4	complete	96	88	0.92	0.82	0.10000000000000009	0.699024711201292	0.6276167506003802	post_result_matched_control_specificity_stress_test	
CWC15	pgaa_h	4	complete	96	88	0.05	0.02	0.030000000000000002	0.311550926011566	0.24025574549408313	post_result_matched_control_specificity_stress_test	
CWC15	absolute_mean_shift	4	complete	96	88	0.87	0.55	0.31999999999999995	0.5245628865503856	0.27106529797471896	post_result_matched_control_specificity_stress_test	
CWC15	welch_abs_t	4	complete	96	88	0.37	0.01	0.36	0.28852593670542	-0.0029831537655783374	post_result_matched_control_specificity_stress_test	
