gene,score
KLF10,10.363894710595048
CSGALNACT1,10.363454766048898
LFNG,10.35941450044727
AC108134.3,10.347954978340589
MMP17,10.294331733479789
CD33,10.284025502513696
ADAMTS10,10.26438271260939
CTBP2,10.23146602746007
CADM1,10.164806012784826
CD160,10.150079709811594
LINC00299,10.146322234931485
TMBIM1,10.142782327488653
B3GAT1,10.136687148452376
S100B,10.107461997959314
TRBV4-2,10.09302996755705
CCR7,10.043213069673985
FASLG,10.034057972982017
FOXP3,10.030651238824557
BX284613.2,10.029064878835243
FCGR2A,10.010571028768268
CTNNAL1,9.985278037098755
HIST1H3C,9.972699959128107
ADGRE2,9.967325220736582
PATL2,9.96351736324402
KIAA1211,9.953438115349737
FUT7,9.926537031503214
RBP7,9.904940185323671
SYNM,9.898648620885812
TCF7L2,9.872595229659701
ST8SIA1,9.847196036405942
HELB,9.826461479320647
CES1,9.818705932024185
TRBV7-2,9.815095879061497
SLAMF7,9.806319572366947
MVB12B,9.803148154891915
SLC15A2,9.782985197535133
ST3GAL4,9.781387832081935
FRY,9.767705787227003
SLC35E2B,9.735450503578665
BTBD11,9.728991665825252
TNFSF10,9.726791884803987
PBXIP1,9.721929000182513
TSC22D1,9.661647411179628
TRAV29DV5,9.613379169478181
AC253572.2,9.612944189087559
EDA,9.607747148423146
TRAV9-2,9.60602029506728
RXRA,9.599835461669123
PHLDA1,9.599363268308725
NFAM1,9.59764014418705
TRAV13-1,9.576933201650347
TOGARAM2,9.558927171331318
RHOXF1-AS1,9.528353115508349
CDKN1A,9.52106985034595
AC090559.1,9.521043037503745
CXCR6,9.488577999627795
KLF4,9.473212244887339
TSHZ2,9.473183647880713
OGFRL1,9.467605297076734
GPBAR1,9.457576959481004
PCSK5,9.449064758577904
TRAF1,9.443583515693408
ICA1,9.441652160357773
TRBV19,9.434797631305708
KCNE3,9.425065360658325
PIEZO1,9.425053422469052
ATF3,9.416844994673324
CDKN1C,9.369826973014556
SGK1,9.365810035325882
MMP23B,9.336520979615804
EPB41L3,9.312803605363383
OSCAR,9.305528879852822
SEPTIN5,9.301455633092514
AC245014.3,9.297667452136537
PLXDC1,9.269668956707836
PPBP,9.269595711090766
ASPH,9.251489428280774
TUBA1A,9.232279648064827
IL18RAP,9.210942666111276
STAT2,9.15837271271987
NBEAL2,9.147547562143329
NLRP3,9.144166894395275
PSTPIP2,9.110404817363575
F5,9.10290443117338
MTSS1,9.101497378635099
PADI4,9.073287474319766
CDKL1,9.004171979332103
DUSP2,9.0011576774712
TRAV19,8.997017065466752
STAB1,8.983992703092024
GNA15,8.967343913686877
SETDB2,8.936603886216734
TRAV14DV4,8.901365223892318
HES4,8.891647250382498
XAF1,8.859525302513422
HBEGF,8.831458292519597
TRGV9,8.830506002004622
HNMT,8.825053238650105
SLC8A1,8.82222244769352
SYNE2,8.81125579836457
CCR5,8.798063571116568
SIAH2,8.758834283135611
TRAV8-3,8.741305367280772
PPM1L,8.728343254388578
TSPOAP1,8.71907510941271
CD93,8.70252785483116
TRGV8,8.692361164871516
ST8SIA6,8.685560821339381
ANK3,8.674404324292581
STX11,8.671029556738317
SLC31A2,8.67073410208091
APOC1,8.670447062010634
LGR6,8.665955365228873
IER3,8.63922609536415
AC022075.1,8.608534954568288
TRBV6-2,8.60411580306661
KIF19,8.600762198172895
PID1,8.598340861109103
C9orf139,8.594628572436818
TLR5,8.584483321540441
PLXNB2,8.55564900708812
TRAV8-4,8.555165982683384
RNPC3,8.549008900674082
ATP2A3,8.537349738724743
ITGB1,8.528752434253779
TRAV8-6,8.51873243905614
AC020656.1,8.512319314850123
MSC-AS1,8.497125912319248
LPP,8.481651121795236
SERPINE2,8.464637897258136
TRAV6,8.458018578992606
PMAIP1,8.43402516553612
RGS18,8.428514132743
CRIP2,8.422685240314511
UTRN,8.416132957688362
TRBV7-3,8.400246167041308
BST1,8.388432647423846
NFE2,8.381079267045612
HIST1H2AG,8.36074879637395
BAIAP2,8.358842173213878
NLRC3,8.328463482484953
AKR1C3,8.323325909269863
KSR1,8.307876358552209
CKB,8.297251305423362
MEFV,8.288306225400737
TRBV5-1,8.191233675301051
CYP1B1,8.187487720580318
TMEM231,8.180377757448104
F13A1,8.170104547092079
CTSL,8.150884930384729
HIST1H2AL,8.136614995848607
HCK,8.13219765247897
AC103702.2,8.090358340967391
PPP1R15A,8.070247429775844
MARCO,8.030837474413332
CSF2RA,8.020216859504698
DYSF,8.011962436556287
TRAV12-2,8.007977436493494
SCD5,8.002461482777985
BORCS5,7.97550845857658
MYOM2,7.949839315290398
RAB27B,7.948828935623761
FCGR1B,7.94697720144216
FRMD4B,7.943693196219032
TRAV4,7.922825703046292
HERC5,7.918911767605045
TRAV21,7.912939708103709
CTSA,7.90565079547755
LDLRAP1,7.886624379345712
ZDHHC14,7.883818859366658
